date,1. open,2. high,3. low,4. close,5. volume
2025-05-21,113.8500,116.1000,111.0900,112.0600,43594606
2025-05-20,114.3500,114.5100,112.0800,113.5100,29030815
2025-05-19,115.0150,115.5300,114.0600,114.7400,37737373
2025-05-16,118.0700,118.2400,116.0100,117.1700,43419695
2025-05-15,117.0200,117.5000,114.0100,114.9900,43843235
2025-05-14,119.8300,122.5200,116.5900,117.7200,86743700
2025-05-13,109.6000,113.1277,109.0000,112.4600,55659513
2025-05-12,110.4150,110.6670,106.9800,108.1200,50543396
2025-05-09,102.5850,103.5400,101.6000,102.8400,31704261
2025-05-08,101.9200,105.4400,101.5600,101.7000,54231362
2025-05-07,100.7500,103.4200,96.8800,100.3600,86648749
2025-05-06,98.4100,100.0700,97.4400,98.6200,54264254
2025-05-05,99.0000,102.0500,98.7600,100.5900,41268886
2025-05-02,98.4000,99.8800,98.3000,98.8000,29957888
2025-05-01,99.2650,100.1000,96.4500,96.6500,29591507
2025-04-30,92.8100,97.5500,91.8700,97.3500,29730729
2025-04-29,95.7550,97.1767,95.3300,96.0600,20700637
2025-04-28,95.5750,97.4865,94.2700,96.3900,30456683
2025-04-25,93.2750,97.1000,92.8500,96.6450,28575343
2025-04-24,91.5900,94.7500,90.3700,94.4700,33681919
2025-04-23,91.8750,93.7400,90.1200,90.3900,41102589
2025-04-22,86.1200,87.1700,85.1700,86.2600,35236735
2025-04-21,86.0150,86.1400,83.7500,85.5600,33855392
2025-04-17,88.8400,89.0300,86.5150,87.5000,34801437
2025-04-16,87.6100,90.4700,85.2950,88.2900,62109016
2025-04-15,94.6600,96.8500,94.6200,95.2900,28116536
2025-04-14,97.1100,97.3699,93.4500,94.5000,36002970
2025-04-11,90.5100,94.7600,90.5000,93.4000,57892600
2025-04-10,91.0000,92.9500,85.0600,88.7000,65210565
2025-04-09,79.2200,97.9100,78.8700,96.8400,97827352
2025-04-08,86.1450,88.9300,76.4800,78.2100,69910233
2025-04-07,80.6800,89.0000,77.7500,83.6400,70515429
2025-04-04,90.1000,91.0800,83.6700,85.7600,65847021
2025-04-03,97.7900,99.4499,93.6400,93.8000,50472542
2025-04-02,101.5200,104.1850,100.7600,102.9600,20793989
2025-04-01,102.1600,102.8300,100.9300,102.7800,23523230
2025-03-31,100.2350,102.8200,98.8000,102.7400,30865342
2025-03-28,105.5250,106.5100,102.4800,103.2200,31069114
2025-03-27,106.1100,107.6200,105.5499,106.6500,32773714
2025-03-26,114.1100,115.8999,108.6800,110.1900,39976485
2025-03-25,113.2650,114.9500,112.7100,114.8100,29077507
2025-03-24,109.7300,114.8500,109.4000,113.8500,53342002
2025-03-21,105.3300,107.2500,104.3300,106.4400,30767938
2025-03-20,105.1200,108.2600,105.1200,107.1400,26871839
2025-03-19,104.4200,107.9000,101.9600,106.2300,32287496
2025-03-18,103.8500,104.5500,102.9700,103.5100,27152827
